Rooms,Car,Regionlabel,Suburb_Target_Price,Council_Area_Encoded,Type_Encoded,Method_Encoded,Bedroom-to-bathroom Ratio,Land-to-building Ratio,Age of Building,Distance_Category,Age of Building Log
4,1.0,5,1653616.4284064467,24.0,0.0,1.0,1.5,0.7923497267759563,144.0,Near,4.969813299576001
2,0.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,0.8607594936708861,134.0,Near,4.897839799950911
3,2.0,5,1653616.4284064467,24.0,0.0,0.0,1.5,0.9115646258503401,134.0,Near,4.897839799950911
1,0.0,5,1653616.4284064467,24.0,0.0,1.0,1.0,0.6666666666666666,124.0,Near,4.820281565605037
4,4.0,2,1195859.2691446543,6.0,0.0,1.0,1.5,0.3083235638921454,94.0,Medium,4.543294782270004
4,1.0,2,1195859.2691446543,6.0,0.0,1.0,2.0,0.33889816360601,99.0,Medium,4.59511985013459
5,4.0,2,1195859.2691446543,6.0,0.0,1.0,1.25,0.20395550061804696,114.0,Medium,4.736198448394496
2,1.0,2,1195859.2691446543,6.0,2.0,1.0,2.0,0.6818181818181818,64.0,Medium,4.1588830833596715
2,3.0,2,1195859.2691446543,6.0,1.0,1.0,1.0,0.9032258064516129,20.0,Medium,2.995732273553991
4,2.0,2,1195859.2691446543,6.0,0.0,1.0,2.0,0.1848184818481848,54.0,Medium,3.9889840465642745
4,2.0,2,1195859.2691446543,6.0,0.0,1.0,2.0,0.47130434782608693,16.0,Medium,2.772588722239781
3,1.0,2,1195859.2691446543,6.0,0.0,3.0,3.0,0.7277777777777777,14.0,Medium,2.6390573296152584
2,1.0,2,1195859.2691446543,6.0,2.0,4.0,2.0,inf,64.0,Medium,4.1588830833596715
2,1.0,2,1195859.2691446543,6.0,2.0,1.0,2.0,inf,59.0,Medium,4.07753744390572
4,2.0,2,1195859.2691446543,29.0,0.0,3.0,2.0,0.4892086330935252,94.0,Medium,4.543294782270004
4,3.0,2,1195859.2691446543,6.0,0.0,1.0,2.0,0.3565365025466893,104.0,Medium,4.6443908991413725
3,1.0,6,888785.3803056644,10.0,0.0,4.0,1.5,0.6875,9.0,Medium,2.1972245773362196
5,3.0,6,888785.3803056644,10.0,0.0,1.0,1.6666666666666667,0.3676268861454047,19.0,Medium,2.9444389791664403
2,2.0,6,888785.3803056644,10.0,1.0,1.0,2.0,0.4280821917808219,11.0,Medium,2.3978952727983707
3,2.0,6,888785.3803056644,10.0,0.0,1.0,3.0,0.23715415019762845,94.0,Medium,4.543294782270004
4,6.0,6,888785.3803056644,10.0,0.0,3.0,1.3333333333333333,0.20813623462630085,62.0,Medium,4.127134385045092
3,2.0,6,888785.3803056644,10.0,2.0,1.0,2.0,0.3022508038585209,69.0,Medium,4.23410650459726
3,1.0,6,888785.3803056644,10.0,0.0,4.0,3.0,0.20431893687707642,69.0,Medium,4.23410650459726
2,1.0,6,888785.3803056644,10.0,2.0,1.0,2.0,0.41333333333333333,36.0,Medium,3.58351893845611
3,4.0,6,888785.3803056644,10.0,0.0,1.0,3.0,0.028314028314028315,71.0,Medium,4.2626798770413155
2,1.0,6,888785.3803056644,10.0,2.0,1.0,2.0,0.5984251968503937,34.0,Medium,3.5263605246161616
2,2.0,6,888785.3803056644,10.0,2.0,1.0,2.0,0.4956521739130435,44.0,Medium,3.784189633918261
2,1.0,6,888785.3803056644,10.0,2.0,3.0,2.0,inf,59.0,Medium,4.07753744390572
4,2.0,6,888785.3803056644,10.0,0.0,1.0,4.0,0.174496644295302,74.0,Medium,4.30406509320417
3,1.0,6,888785.3803056644,10.0,2.0,3.0,1.5,2.0434782608695654,10.0,Medium,2.302585092994046
2,1.0,6,888785.3803056644,10.0,2.0,1.0,2.0,0.5620437956204379,34.0,Medium,3.5263605246161616
3,2.0,6,888785.3803056644,10.0,0.0,1.0,3.0,0.14356435643564355,74.0,Medium,4.30406509320417
2,1.0,6,888785.3803056644,10.0,2.0,0.0,1.0,0.4342857142857143,11.0,Medium,2.3978952727983707
3,2.0,6,888785.3803056644,10.0,0.0,3.0,1.5,0.2546816479400749,59.0,Medium,4.07753744390572
3,1.0,6,888785.3803056644,10.0,2.0,1.0,1.5,0.551219512195122,17.0,Medium,2.833213344056216
2,1.0,6,888785.3803056644,10.0,0.0,3.0,1.0,0.14814814814814814,74.0,Medium,4.30406509320417
3,1.0,6,888785.3803056644,10.0,2.0,3.0,1.5,0.04285714285714286,10.0,Medium,2.302585092994046
2,1.0,6,888785.3803056644,10.0,0.0,3.0,2.0,0.5909090909090909,28.0,Medium,3.332204510175204
5,6.0,6,869537.5976075158,10.0,0.0,1.0,1.6666666666666667,0.4239864864864865,59.0,Medium,4.07753744390572
3,2.0,6,869537.5976075158,10.0,0.0,1.0,3.0,0.21951219512195122,54.0,Medium,3.9889840465642745
2,1.0,6,869537.5976075158,10.0,1.0,1.0,2.0,1.0,15.0,Medium,2.70805020110221
3,2.0,6,869537.5976075158,10.0,0.0,1.0,3.0,0.31273408239700373,57.0,Medium,4.04305126783455
3,1.0,6,869537.5976075158,10.0,0.0,4.0,1.5,inf,12.0,Medium,2.4849066497880004
3,1.0,6,869537.5976075158,10.0,0.0,1.0,3.0,0.3597560975609756,54.0,Medium,3.9889840465642745
3,3.0,6,869537.5976075158,10.0,0.0,0.0,3.0,0.21481481481481482,64.0,Medium,4.1588830833596715
4,4.0,6,869537.5976075158,10.0,0.0,3.0,3.0,0.3023255813953488,59.0,Medium,4.07753744390572
3,2.0,6,869537.5976075158,10.0,0.0,1.0,1.5,0.6374269005847953,12.0,Medium,2.4849066497880004
3,2.0,6,869537.5976075158,10.0,0.0,1.0,3.0,0.1658119658119658,64.0,Medium,4.1588830833596715
4,4.0,6,869537.5976075158,10.0,0.0,3.0,2.0,0.5396825396825397,16.0,Medium,2.772588722239781
3,2.0,6,869537.5976075158,10.0,0.0,3.0,2.5,0.36231884057971014,14.0,Medium,2.6390573296152584
3,1.0,6,869537.5976075158,10.0,0.0,1.0,3.0,0.295668549905838,64.0,Medium,4.1588830833596715
3,1.0,6,869537.5976075158,10.0,0.0,1.0,1.5,0.2711864406779661,74.0,Medium,4.30406509320417
3,3.0,6,869537.5976075158,10.0,0.0,1.0,1.5,0.23423423423423423,64.0,Medium,4.1588830833596715
4,4.0,6,869537.5976075158,10.0,0.0,3.0,4.0,0.24960505529225907,64.0,Medium,4.1588830833596715
2,1.0,6,869537.5976075158,10.0,2.0,1.0,2.0,0.45751633986928103,54.0,Medium,3.9889840465642745
2,1.0,5,1435970.1534048175,25.0,2.0,1.0,2.0,inf,60.0,Medium,4.0943445622221
3,2.0,5,1435970.1534048175,25.0,2.0,1.0,1.5,inf,26.0,Medium,3.258096538021482
3,2.0,5,1435970.1534048175,25.0,1.0,1.0,1.5,1.0396039603960396,24.0,Medium,3.1780538303479458
3,2.0,5,1435970.1534048175,25.0,0.0,1.0,1.5,0.5067567567567568,135.0,Medium,4.90527477843843
3,1.0,5,1435970.1534048175,25.0,0.0,1.0,3.0,0.5345622119815668,136.0,Medium,4.912654885736052
3,2.0,5,1435970.1534048175,25.0,1.0,3.0,1.5,inf,29.0,Medium,3.367295829986474
3,1.0,5,1435970.1534048175,25.0,0.0,1.0,1.5,0.5658536585365853,114.0,Medium,4.736198448394496
3,1.0,5,1435970.1534048175,25.0,2.0,0.0,1.5,0.006625650733554188,54.0,Medium,3.9889840465642745
1,1.0,5,1435970.1534048175,25.0,0.0,3.0,1.0,0.7430555555555556,124.0,Medium,4.820281565605037
1,1.0,5,1435970.1534048175,25.0,2.0,0.0,1.0,inf,49.0,Medium,3.8918202981106265
2,1.0,5,1435970.1534048175,25.0,2.0,1.0,2.0,inf,54.0,Medium,3.9889840465642745
2,0.0,5,1435970.1534048175,25.0,0.0,1.0,2.0,0.3855421686746988,114.0,Medium,4.736198448394496
4,2.0,5,1435970.1534048175,25.0,0.0,1.0,2.0,0.3557692307692308,124.0,Medium,4.820281565605037
3,2.0,5,1435970.1534048175,25.0,0.0,0.0,1.5,0.29876543209876544,114.0,Medium,4.736198448394496
4,2.0,5,1435970.1534048175,25.0,0.0,0.0,4.0,0.3292929292929293,124.0,Medium,4.820281565605037
6,4.0,5,1435970.1534048175,25.0,0.0,1.0,1.6666666666666667,0.3460764587525151,89.0,Medium,4.48863636973214
1,1.0,5,1435970.1534048175,25.0,2.0,3.0,1.0,inf,54.0,Medium,3.9889840465642745
3,2.0,5,1435970.1534048175,25.0,0.0,4.0,2.0,0.5,124.0,Medium,4.820281565605037
2,1.0,5,1435970.1534048175,25.0,2.0,3.0,2.0,inf,55.0,Medium,4.007333185232471
2,1.0,5,1435970.1534048175,25.0,2.0,4.0,3.0,inf,54.0,Medium,3.9889840465642745
3,2.0,5,1435970.1534048175,25.0,0.0,1.0,3.0,0.32926829268292684,124.0,Medium,4.820281565605037
2,1.0,5,1435970.1534048175,25.0,2.0,1.0,2.0,0.03237555645487657,54.0,Medium,3.9889840465642745
2,1.0,5,1435970.1534048175,25.0,2.0,1.0,2.0,inf,54.0,Medium,3.9889840465642745
3,2.0,5,1435970.1534048175,25.0,0.0,1.0,3.0,0.43010752688172044,104.0,Medium,4.6443908991413725
2,1.0,5,1435970.1534048175,25.0,2.0,1.0,1.0,inf,54.0,Medium,3.9889840465642745
4,2.0,5,1435970.1534048175,25.0,0.0,1.0,4.0,0.3540197461212976,124.0,Medium,4.820281565605037
4,3.0,5,1435970.1534048175,25.0,0.0,4.0,1.3333333333333333,0.5914742451154529,24.0,Medium,3.1780538303479458
3,2.0,5,1435970.1534048175,25.0,1.0,1.0,3.0,0.02912621359223301,24.0,Medium,3.1780538303479458
3,2.0,5,1435970.1534048175,25.0,0.0,1.0,1.5,0.4619124797406807,26.0,Medium,3.258096538021482
3,1.0,5,1435970.1534048175,25.0,2.0,1.0,2.0,inf,84.0,Medium,4.430816798843313
1,1.0,5,1435970.1534048175,25.0,2.0,1.0,1.0,inf,11.0,Medium,2.3978952727983707
3,2.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.3624161073825503,104.0,Medium,4.6443908991413725
2,1.0,6,1082030.8037350916,21.0,2.0,3.0,2.0,inf,44.0,Medium,3.784189633918261
3,2.0,6,1082030.8037350916,21.0,0.0,3.0,1.5,0.628158844765343,114.0,Medium,4.736198448394496
2,1.0,6,1082030.8037350916,21.0,2.0,4.0,2.0,0.14657210401891252,54.0,Medium,3.9889840465642745
4,1.0,6,1082030.8037350916,21.0,0.0,1.0,1.3333333333333333,0.5648535564853556,124.0,Medium,4.820281565605037
3,2.0,6,1082030.8037350916,21.0,0.0,3.0,1.5,0.44912280701754387,124.0,Medium,4.820281565605037
2,1.0,6,1082030.8037350916,21.0,0.0,0.0,2.0,0.3598130841121495,134.0,Medium,4.897839799950911
6,2.0,6,1082030.8037350916,21.0,0.0,0.0,2.0,0.4289940828402367,137.0,Medium,4.919980925828125
2,1.0,6,1082030.8037350916,21.0,0.0,3.0,2.0,0.40707964601769914,104.0,Medium,4.6443908991413725
2,1.0,6,1082030.8037350916,21.0,0.0,1.0,2.0,0.4052044609665427,124.0,Medium,4.820281565605037
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.4028776978417266,124.0,Medium,4.820281565605037
3,2.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.35714285714285715,120.0,Medium,4.787491742782046
2,1.0,6,1082030.8037350916,21.0,0.0,0.0,2.0,0.6694915254237288,134.0,Medium,4.897839799950911
2,1.0,6,1082030.8037350916,21.0,0.0,3.0,2.0,0.5895953757225434,124.0,Medium,4.820281565605037
2,2.0,6,1082030.8037350916,21.0,2.0,1.0,2.0,0.39473684210526316,29.0,Medium,3.367295829986474
3,2.0,6,1082030.8037350916,21.0,0.0,1.0,4.0,0.24915824915824916,64.0,Medium,4.1588830833596715
2,1.0,6,1082030.8037350916,21.0,0.0,0.0,2.0,0.38495575221238937,124.0,Medium,4.820281565605037
4,1.0,6,1082030.8037350916,21.0,0.0,3.0,4.0,0.6166666666666667,134.0,Medium,4.897839799950911
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.26899383983572894,124.0,Medium,4.820281565605037
3,2.0,6,1082030.8037350916,21.0,0.0,0.0,1.5,0.2727272727272727,69.0,Medium,4.23410650459726
3,2.0,6,1082030.8037350916,21.0,0.0,1.0,1.5,0.27631578947368424,74.0,Medium,4.30406509320417
1,1.0,6,1082030.8037350916,21.0,2.0,1.0,1.0,inf,52.0,Medium,3.9512437185814275
3,2.0,6,1082030.8037350916,21.0,0.0,0.0,1.5,0.2808080808080808,104.0,Medium,4.6443908991413725
4,2.0,6,1082030.8037350916,21.0,0.0,1.0,1.5,0.3396778916544656,46.0,Medium,3.828641396489095
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.4448669201520912,114.0,Medium,4.736198448394496
4,5.0,6,1082030.8037350916,21.0,0.0,4.0,2.0,0.3488372093023256,104.0,Medium,4.6443908991413725
2,1.0,6,1082030.8037350916,21.0,2.0,1.0,2.0,inf,46.0,Medium,3.828641396489095
4,2.0,6,1082030.8037350916,21.0,0.0,1.0,1.3333333333333333,0.36298932384341637,134.0,Medium,4.897839799950911
6,1.0,6,1082030.8037350916,21.0,0.0,1.0,2.0,0.6203904555314533,124.0,Medium,4.820281565605037
2,1.0,6,1082030.8037350916,21.0,2.0,3.0,2.0,0.34551495016611294,29.0,Medium,3.367295829986474
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,1.0,0.25865580448065173,74.0,Medium,4.30406509320417
3,1.0,6,1082030.8037350916,21.0,0.0,3.0,3.0,0.45454545454545453,104.0,Medium,4.6443908991413725
3,2.0,6,1082030.8037350916,21.0,0.0,3.0,1.5,0.24149108589951376,94.0,Medium,4.543294782270004
4,2.0,6,1082030.8037350916,21.0,0.0,1.0,2.0,0.3015075376884422,85.0,Medium,4.442651256490317
2,1.0,6,1082030.8037350916,21.0,1.0,3.0,1.0,0.9041095890410958,9.0,Medium,2.1972245773362196
2,1.0,6,1082030.8037350916,21.0,2.0,1.0,2.0,inf,49.0,Medium,3.8918202981106265
3,2.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.21739130434782608,104.0,Medium,4.6443908991413725
3,2.0,6,1082030.8037350916,21.0,1.0,1.0,1.5,0.5031446540880503,11.0,Medium,2.3978952727983707
2,1.0,6,1082030.8037350916,21.0,2.0,1.0,2.0,inf,54.0,Medium,3.9889840465642745
4,0.0,6,1082030.8037350916,21.0,0.0,1.0,2.0,0.37799043062200954,124.0,Medium,4.820281565605037
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,1.5,0.5772058823529411,124.0,Medium,4.820281565605037
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.35135135135135137,114.0,Medium,4.736198448394496
4,1.0,6,1082030.8037350916,21.0,0.0,0.0,2.0,0.49328859060402686,104.0,Medium,4.6443908991413725
2,1.0,6,1082030.8037350916,21.0,2.0,0.0,2.0,0.03525804803270312,12.0,Medium,2.4849066497880004
4,1.0,6,1082030.8037350916,21.0,0.0,1.0,4.0,0.2807971014492754,104.0,Medium,4.6443908991413725
3,2.0,6,1082030.8037350916,21.0,0.0,1.0,1.5,0.40384615384615385,124.0,Medium,4.820281565605037
3,2.0,6,1082030.8037350916,21.0,0.0,1.0,1.5,0.6035087719298246,13.0,Medium,2.5649493574615367
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,1.5,0.5636942675159236,14.0,Medium,2.6390573296152584
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,1.5,0.20833333333333334,84.0,Medium,4.430816798843313
2,3.0,6,1082030.8037350916,21.0,0.0,0.0,2.0,0.42857142857142855,114.0,Medium,4.736198448394496
2,1.0,6,1082030.8037350916,21.0,0.0,0.0,2.0,0.6209677419354839,124.0,Medium,4.820281565605037
3,2.0,6,1082030.8037350916,21.0,1.0,1.0,1.5,0.72,21.0,Medium,3.044522437723423
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,2.0,0.5971223021582733,124.0,Medium,4.820281565605037
3,1.0,6,1082030.8037350916,21.0,0.0,1.0,3.0,0.38716814159292035,64.0,Medium,4.1588830833596715
2,2.0,6,1082030.8037350916,21.0,2.0,1.0,2.0,0.36597938144329895,124.0,Medium,4.820281565605037
4,4.0,6,1082030.8037350916,21.0,0.0,1.0,2.0,0.45652173913043476,12.0,Medium,2.4849066497880004
4,2.0,5,1650387.036916517,2.0,0.0,1.0,1.3333333333333333,0.5298804780876494,9.0,Medium,2.1972245773362196
3,2.0,5,1650387.036916517,2.0,0.0,1.0,1.5,0.3672787979966611,94.0,Medium,4.543294782270004
3,4.0,5,1650387.036916517,2.0,1.0,1.0,1.0,1.0161290322580645,10.0,Medium,2.302585092994046
3,2.0,5,1650387.036916517,2.0,0.0,1.0,1.5,0.20383036935704515,89.0,Medium,4.48863636973214
3,2.0,5,1650387.036916517,2.0,0.0,0.0,1.0,0.644927536231884,20.0,Medium,2.995732273553991
3,2.0,5,1650387.036916517,2.0,0.0,1.0,3.0,0.19210977701543738,74.0,Medium,4.30406509320417
8,4.0,5,1650387.036916517,2.0,0.0,1.0,1.2857142857142858,0.41983695652173914,15.0,Medium,2.70805020110221
3,2.0,5,1650387.036916517,2.0,0.0,1.0,1.5,0.2810077519379845,104.0,Medium,4.6443908991413725
3,2.0,5,1650387.036916517,2.0,0.0,1.0,3.0,0.12531017369727046,74.0,Medium,4.30406509320417
3,3.0,5,1650387.036916517,2.0,0.0,1.0,3.0,0.19487179487179487,84.0,Medium,4.430816798843313
4,2.0,5,1650387.036916517,2.0,0.0,4.0,2.0,0.23076923076923078,86.0,Medium,4.454347296253507
3,2.0,5,1650387.036916517,2.0,0.0,1.0,1.5,0.6495726495726496,18.0,Medium,2.8903717578961645
3,3.0,5,1650387.036916517,2.0,0.0,1.0,1.5,0.20655270655270655,79.0,Medium,4.3694478524670215
5,2.0,5,1650387.036916517,2.0,0.0,1.0,1.0,0.5880794701986755,9.0,Medium,2.1972245773362196
3,2.0,5,1650387.036916517,2.0,1.0,1.0,1.5,0.7189542483660131,34.0,Medium,3.5263605246161616
5,2.0,5,1650387.036916517,2.0,0.0,1.0,1.5,0.3627906976744186,14.0,Medium,2.6390573296152584
3,2.0,5,1650387.036916517,2.0,0.0,4.0,1.5,0.19577464788732393,79.0,Medium,4.3694478524670215
4,4.0,5,1650387.036916517,2.0,0.0,1.0,2.0,0.2750333778371162,74.0,Medium,4.30406509320417
3,3.0,5,1650387.036916517,2.0,0.0,1.0,1.5,0.23204419889502761,84.0,Medium,4.430816798843313
3,1.0,5,1650387.036916517,2.0,0.0,1.0,3.0,0.1834710743801653,74.0,Medium,4.30406509320417
2,1.0,5,1650387.036916517,2.0,0.0,0.0,2.0,0.15138282387190685,84.0,Medium,4.430816798843313
4,2.0,5,1650387.036916517,2.0,1.0,4.0,2.0,0.6199376947040498,17.0,Medium,2.833213344056216
5,4.0,5,1650387.036916517,2.0,0.0,1.0,1.6666666666666667,0.38,74.0,Medium,4.30406509320417
4,3.0,5,1650387.036916517,2.0,0.0,1.0,2.0,0.3936781609195402,24.0,Medium,3.1780538303479458
4,2.0,5,1650387.036916517,2.0,0.0,0.0,2.0,0.4669260700389105,89.0,Medium,4.48863636973214
4,2.0,5,1650387.036916517,2.0,0.0,1.0,2.0,0.3293838862559242,84.0,Medium,4.430816798843313
3,1.0,5,1650387.036916517,2.0,0.0,1.0,3.0,0.23529411764705882,77.0,Medium,4.343805421853684
4,2.0,5,1118149.699305703,20.0,0.0,3.0,1.3333333333333333,0.5403225806451613,8.0,Medium,2.0794415416798357
2,2.0,5,1118149.699305703,20.0,0.0,4.0,2.0,0.16402877697841728,74.0,Medium,4.30406509320417
4,2.0,5,1118149.699305703,20.0,0.0,1.0,1.0,0.32689210950080516,24.0,Medium,3.1780538303479458
2,2.0,5,1118149.699305703,20.0,1.0,1.0,2.0,0.2997275204359673,54.0,Medium,3.9889840465642745
3,4.0,5,1118149.699305703,20.0,0.0,0.0,1.5,0.235,74.0,Medium,4.30406509320417
3,1.0,5,1118149.699305703,20.0,0.0,1.0,3.0,1.0,74.0,Medium,4.30406509320417
4,2.0,5,1118149.699305703,20.0,0.0,4.0,1.5,0.18929016189290163,54.0,Medium,3.9889840465642745
2,1.0,5,1118149.699305703,20.0,2.0,1.0,2.0,0.4166666666666667,21.0,Medium,3.044522437723423
3,3.0,5,1118149.699305703,20.0,0.0,1.0,1.5,0.2749360613810742,74.0,Medium,4.30406509320417
4,1.0,5,1118149.699305703,20.0,0.0,1.0,2.0,0.4300168634064081,94.0,Medium,4.543294782270004
5,2.0,5,1118149.699305703,20.0,0.0,1.0,1.6666666666666667,0.5418803418803418,24.0,Medium,3.1780538303479458
2,1.0,5,1118149.699305703,20.0,2.0,1.0,2.0,0.5228758169934641,54.0,Medium,3.9889840465642745
4,2.0,5,1118149.699305703,20.0,0.0,1.0,2.0,0.2506527415143603,74.0,Medium,4.30406509320417
2,2.0,5,1118149.699305703,20.0,2.0,1.0,2.0,0.4583333333333333,17.0,Medium,2.833213344056216
2,1.0,5,1118149.699305703,20.0,0.0,1.0,2.0,0.14675767918088736,74.0,Medium,4.30406509320417
3,1.0,5,1118149.699305703,20.0,0.0,1.0,3.0,0.15789473684210525,64.0,Medium,4.1588830833596715
3,1.0,5,1118149.699305703,20.0,0.0,1.0,1.5,0.265625,66.0,Medium,4.189654742026425
3,2.0,5,1118149.699305703,20.0,1.0,1.0,1.5,0.5234375,12.0,Medium,2.4849066497880004
3,2.0,5,1118149.699305703,20.0,0.0,4.0,1.5,0.2359952324195471,54.0,Medium,3.9889840465642745
3,2.0,5,1118149.699305703,20.0,1.0,1.0,2.0,0.6132075471698113,12.0,Medium,2.4849066497880004
3,1.0,6,896840.395814022,21.0,0.0,1.0,3.0,0.19898819561551434,54.0,Medium,3.9889840465642745
3,1.0,6,896840.395814022,21.0,0.0,3.0,3.0,inf,44.0,Medium,3.784189633918261
3,1.0,6,896840.395814022,21.0,1.0,1.0,1.0,0.3249551166965889,7.0,Medium,1.9459101490553132
4,2.0,6,896840.395814022,21.0,0.0,1.0,1.5,0.3954305799648506,16.0,Medium,2.772588722239781
3,2.0,6,896840.395814022,21.0,0.0,1.0,3.0,0.21052631578947367,54.0,Medium,3.9889840465642745
3,1.0,6,896840.395814022,21.0,0.0,3.0,3.0,0.26,54.0,Medium,3.9889840465642745
4,3.0,6,896840.395814022,21.0,0.0,1.0,1.3333333333333333,0.3692509855453351,54.0,Medium,3.9889840465642745
3,1.0,6,896840.395814022,21.0,0.0,1.0,3.0,0.18244406196213425,64.0,Medium,4.1588830833596715
4,2.0,6,896840.395814022,21.0,0.0,4.0,1.3333333333333333,0.4524627720504009,32.0,Medium,3.4657359027997265
