Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname
Airport West,3,h,670000,SP,16-07-2016,13.5,3042,3,2,2,657,,,Moonee Valley,Western Metropolitan
Airport West,2,h,675000,S,16-07-2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley,Western Metropolitan
Airport West,3,h,1042000,S,16-07-2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley,Western Metropolitan
Airport West,3,h,910000,S,17-09-2016,13.5,3042,3,1,1,775,,,Moonee Valley,Western Metropolitan
Airport West,4,h,773000,S,17-09-2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley,Western Metropolitan
Airport West,3,h,810000,PI,18-03-2017,13.5,3042,3,3,2,555,192,1980,Moonee Valley,Western Metropolitan
Airport West,3,h,715000,S,18-03-2017,13.5,3042,3,2,2,422,126,1995,Moonee Valley,Western Metropolitan
Airport West,3,h,790000,S,18-03-2017,13.5,3042,3,1,3,614,,,Moonee Valley,Western Metropolitan
Airport West,3,t,540000,SP,18-06-2016,13.5,3042,2,2,1,161,101,2010,Moonee Valley,Western Metropolitan
Airport West,3,t,825000,SP,19-11-2016,13.5,3042,3,2,1,293,102,1960,Moonee Valley,Western Metropolitan
Airport West,3,h,685000,S,22-05-2016,13.5,3042,3,1,1,579,113,1975,Moonee Valley,Western Metropolitan
Airport West,3,h,805000,S,22-08-2016,13.5,3042,3,1,1,623,,,Moonee Valley,Western Metropolitan
Airport West,2,u,510000,S,22-08-2016,13.5,3042,2,1,1,141,76,,Moonee Valley,Western Metropolitan
Airport West,3,h,612000,S,22-08-2016,13.5,3042,3,2,1,212,,,Moonee Valley,Western Metropolitan
Airport West,3,h,662000,S,23-04-2016,13.5,3042,3,1,2,612,,,Moonee Valley,Western Metropolitan
Airport West,4,h,978000,S,24-09-2016,13.5,3042,4,3,2,532,,,Moonee Valley,Western Metropolitan
Airport West,3,h,720000,PI,25-02-2017,13.5,3042,3,1,1,585,,,Moonee Valley,Western Metropolitan
Airport West,4,h,765000,S,27-11-2016,13.5,3042,4,1,2,509,,,Moonee Valley,Western Metropolitan
Airport West,4,h,900000,S,27-11-2016,13.5,3042,4,2,3,628,146,1975,Moonee Valley,Western Metropolitan
Albert Park,2,h,1275000,S,03-09-2016,3.3,3206,2,1,0,120,82,1900,Port Phillip,Southern Metropolitan
Albert Park,2,h,1455000,S,03-09-2016,3.3,3206,2,1,0,159,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,2850000,PI,04-03-2017,3.3,3206,3,2,0,211,198,1890,Port Phillip,Southern Metropolitan
Albert Park,3,h,1850000,S,04-03-2017,3.3,3206,3,2,0,128,133,1890,Port Phillip,Southern Metropolitan
Albert Park,2,h,1436000,S,04-03-2017,3.3,3206,2,1,0,130,81,1900,Port Phillip,Southern Metropolitan
Albert Park,2,h,1110000,S,06-08-2016,3.3,3206,1,1,0,147,,1900,Port Phillip,Southern Metropolitan
Albert Park,2,h,1550000,S,07-05-2016,3.3,3206,2,1,1,167,,,Port Phillip,Southern Metropolitan
Albert Park,4,h,2300000,S,07-05-2016,3.3,3206,4,2,1,153,180,1880,Port Phillip,Southern Metropolitan
Albert Park,3,t,1550000,VB,07-11-2016,3.3,3206,3,2,2,718,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,1800000,VB,07-11-2016,3.3,3206,3,2,1,132,159,1996,Port Phillip,Southern Metropolitan
Albert Park,2,h,2120000,S,10-09-2016,3.3,3206,2,1,1,199,107,1900,Port Phillip,Southern Metropolitan
Albert Park,3,h,1800000,VB,10-09-2016,3.3,3206,3,1,1,253,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,1800000,S,10-09-2016,3.3,3206,3,2,1,90,122,1900,Port Phillip,Southern Metropolitan
Albert Park,2,h,1810000,PI,10-12-2016,3.3,3206,2,1,0,240,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,2615000,S,10-12-2016,3.3,3206,3,2,1,177,181,1880,Port Phillip,Southern Metropolitan
Albert Park,5,h,2100000,S,10-12-2016,3.3,3206,5,2,1,237,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,1300000,S,10-12-2016,3.3,3206,3,1,0,129,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,1370000,S,12-06-2016,3.3,3206,3,2,2,0,85,2000,Port Phillip,Southern Metropolitan
Albert Park,2,h,1000000,S,12-11-2016,3.3,3206,2,1,0,288,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,2575000,S,15-10-2016,3.3,3206,3,2,1,228,,,Port Phillip,Southern Metropolitan
Albert Park,2,h,1322500,S,15-10-2016,3.3,3206,2,1,0,149,98,1890,Port Phillip,Southern Metropolitan
Albert Park,2,h,1562500,S,15-10-2016,3.3,3206,2,1,0,141,83,1890,Port Phillip,Southern Metropolitan
Albert Park,3,h,2000000,VB,16-04-2016,3.3,3206,3,2,1,211,147,1900,Port Phillip,Southern Metropolitan
Albert Park,3,h,1900000,S,18-03-2017,3.3,3206,3,1,0,209,,1900,Port Phillip,Southern Metropolitan
Albert Park,3,h,3010000,S,18-03-2017,3.3,3206,3,2,0,147,146,1890,Port Phillip,Southern Metropolitan
Albert Park,4,h,2800000,VB,18-06-2016,3.3,3206,4,3,1,327,254,1910,Port Phillip,Southern Metropolitan
Albert Park,2,u,647000,S,22-05-2016,3.3,3206,2,1,1,0,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,2100000,SP,23-04-2016,3.3,3206,2,1,1,120,123,1900,Port Phillip,Southern Metropolitan
Albert Park,3,h,2000000,PI,24-09-2016,3.3,3206,3,1,1,238,131,1890,Port Phillip,Southern Metropolitan
Albert Park,1,u,442500,S,25-02-2017,3.3,3206,1,1,0,0,34,1970,Port Phillip,Southern Metropolitan
Albert Park,4,h,4735000,S,25-02-2017,3.3,3206,4,2,1,330,207,1910,Port Phillip,Southern Metropolitan
Albert Park,2,h,1340000,S,25-02-2017,3.3,3206,2,1,0,136,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,1801000,S,25-02-2017,3.3,3206,3,1,1,202,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,1532000,S,26-07-2016,3.3,3206,3,3,1,0,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,3755000,S,26-07-2016,3.3,3206,3,2,2,325,,,Port Phillip,Southern Metropolitan
Albert Park,4,h,2140000,S,27-06-2016,3.3,3206,3,2,1,183,145,1880,Port Phillip,Southern Metropolitan
Albert Park,2,h,1750000,S,27-11-2016,3.3,3206,2,1,1,162,,,Port Phillip,Southern Metropolitan
Albert Park,2,h,980000,S,28-05-2016,3.3,3206,2,1,0,79,68,1890,Port Phillip,Southern Metropolitan
Albert Park,3,h,2030000,S,28-08-2016,3.3,3206,3,2,0,152,,,Port Phillip,Southern Metropolitan
Albert Park,3,h,1740000,PI,28-08-2016,3.3,3206,3,2,2,147,134,1890,Port Phillip,Southern Metropolitan
Albert Park,3,h,2800000,VB,30-07-2016,3.3,3206,3,3,1,0,,,Port Phillip,Southern Metropolitan
Albert Park,1,h,985000,S,30-07-2016,3.3,3206,1,1,0,81,54,1900,Port Phillip,Southern Metropolitan
Alphington,4,h,2000000,S,03-09-2016,6.4,3078,3,2,4,853,263,1930,Darebin,Northern Metropolitan
Alphington,3,h,1110000,S,03-09-2016,6.4,3078,3,2,2,208,,2013,Yarra,Northern Metropolitan
Alphington,3,h,1492000,S,04-03-2017,6.4,3078,3,2,2,411,,,Darebin,Northern Metropolitan
Alphington,4,h,1717500,S,08-10-2016,6.4,3078,4,2,1,599,203,1925,Darebin,Northern Metropolitan
Alphington,5,h,2840000,S,12-06-2016,6.4,3078,5,4,4,809,165,1910,Darebin,Northern Metropolitan
Alphington,2,u,525500,S,12-11-2016,6.4,3078,2,1,1,88,60,1960,Darebin,Northern Metropolitan
Alphington,2,t,805000,S,12-11-2016,6.4,3078,2,2,3,155,140,2004,Darebin,Northern Metropolitan
Alphington,2,u,465000,S,12-11-2016,6.4,3078,2,1,1,0,,,Darebin,Northern Metropolitan
Alphington,3,h,2000000,PI,15-10-2016,6.4,3078,3,3,2,686,,,Darebin,Northern Metropolitan
Alphington,3,h,1540000,S,16-04-2016,6.4,3078,3,1,2,592,,,Darebin,Northern Metropolitan
Alphington,2,u,820000,S,18-03-2017,6.4,3078,2,1,1,183,,,Darebin,Northern Metropolitan
Alphington,4,h,1830000,S,19-11-2016,6.4,3078,4,2,2,606,112,1970,Darebin,Northern Metropolitan
Alphington,4,h,2100000,S,19-11-2016,6.4,3078,4,2,2,575,271,2008,Darebin,Northern Metropolitan
Alphington,3,h,865000,SP,22-05-2016,6.4,3078,3,1,1,180,131,2010,Darebin,Northern Metropolitan
Alphington,2,u,390000,VB,22-05-2016,6.4,3078,2,1,1,0,60,1960,Darebin,Northern Metropolitan
Alphington,2,t,650000,SP,24-09-2016,6.4,3078,0,1,0,0,,,Yarra,Northern Metropolitan
Alphington,2,u,512000,S,25-02-2017,6.4,3078,2,1,1,0,61,1965,Darebin,Northern Metropolitan
Alphington,3,h,1165000,S,27-06-2016,6.4,3078,3,1,2,979,,,Yarra,Northern Metropolitan
Alphington,4,h,1900000,SP,27-11-2016,6.4,3078,4,2,2,556,272,1930,Yarra,Northern Metropolitan
Alphington,3,h,1485000,SP,28-08-2016,6.4,3078,3,0,0,597,,,Darebin,Northern Metropolitan
Alphington,4,h,1950000,S,30-07-2016,6.4,3078,4,2,3,589,210,1920,Darebin,Northern Metropolitan
Altona,3,h,520000,VB,03-09-2016,13.8,3018,3,2,1,352,242,2015,Hobsons Bay,Western Metropolitan
Altona,5,h,1525000,S,03-12-2016,13.8,3018,5,3,3,729,268,2005,Hobsons Bay,Western Metropolitan
Altona,2,t,720000,S,04-02-2016,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,Western Metropolitan
Altona,3,h,1120000,S,04-03-2017,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,Western Metropolitan
Altona,4,h,780000,PI,04-06-2016,13.8,3018,4,1,4,655,,,Hobsons Bay,Western Metropolitan
Altona,4,h,1780000,SP,04-06-2016,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay,Western Metropolitan
Altona,3,u,630000,S,06-08-2016,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,Western Metropolitan
Altona,2,u,406000,SP,06-08-2016,13.8,3018,2,1,1,65,,,Hobsons Bay,Western Metropolitan
Altona,3,h,660000,VB,07-05-2016,13.8,3018,3,1,1,602,123,1955,Hobsons Bay,Western Metropolitan
Altona,3,h,683500,S,07-11-2016,13.8,3018,3,1,1,530,,,Hobsons Bay,Western Metropolitan
Altona,2,u,580000,S,08-10-2016,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,Western Metropolitan
Altona,3,h,1335000,S,08-10-2016,13.8,3018,3,1,4,777,22,1953,Hobsons Bay,Western Metropolitan
Altona,3,t,800000,SP,08-10-2016,13.8,3018,3,2,2,280,,1997,Hobsons Bay,Western Metropolitan
Altona,2,u,510000,S,10-09-2016,13.8,3018,2,1,1,127,76,1990,Hobsons Bay,Western Metropolitan
Altona,4,h,1070000,S,10-09-2016,13.8,3018,4,2,2,695,,,Hobsons Bay,Western Metropolitan
Altona,2,u,425000,S,10-09-2016,13.8,3018,2,1,2,115,57,1980,Hobsons Bay,Western Metropolitan
Altona,3,u,605000,S,10-12-2016,13.8,3018,3,2,2,230,,,Hobsons Bay,Western Metropolitan
Altona,3,t,705000,S,11-02-2017,13.8,3018,3,2,2,197,152,,Hobsons Bay,Western Metropolitan
Altona,2,u,391000,SP,11-02-2017,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,Western Metropolitan
Altona,2,u,440000,SP,11-02-2017,13.8,3018,2,1,1,0,,,Hobsons Bay,Western Metropolitan
Altona,4,h,845000,S,11-02-2017,13.8,3018,4,1,2,745,130,1950,Hobsons Bay,Western Metropolitan
Altona,3,t,743000,SP,12-11-2016,13.8,3018,3,2,2,211,176,,Hobsons Bay,Western Metropolitan
Altona,3,u,730000,SP,13-08-2016,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,Western Metropolitan
Altona,3,h,635000,S,14-05-2016,13.8,3018,3,1,4,625,,1960,Hobsons Bay,Western Metropolitan
Altona,2,u,620000,SP,14-05-2016,13.8,3018,2,1,1,168,,,Hobsons Bay,Western Metropolitan
Altona,2,u,447000,S,15-10-2016,13.8,3018,2,1,1,137,77,1990,Hobsons Bay,Western Metropolitan
Altona,3,u,730000,SP,16-04-2016,13.8,3018,3,2,1,70,,,Hobsons Bay,Western Metropolitan
Altona,3,h,678000,S,16-04-2016,13.8,3018,3,1,2,606,87,1950,Hobsons Bay,Western Metropolitan
Altona,2,u,580000,PI,16-07-2016,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,Western Metropolitan
Altona,3,h,712000,S,17-09-2016,13.8,3018,3,1,2,363,,,Hobsons Bay,Western Metropolitan
Altona,3,h,840000,SP,18-03-2017,13.8,3018,3,2,2,534,136,1965,Hobsons Bay,Western Metropolitan
Altona,3,h,980000,S,19-11-2016,13.8,3018,3,1,2,724,,,Hobsons Bay,Western Metropolitan
Altona,3,t,605100,S,22-05-2016,13.8,3018,3,2,0,265,,,Hobsons Bay,Western Metropolitan
Altona,3,h,880000,PI,22-08-2016,13.8,3018,3,3,1,577,,,Hobsons Bay,Western Metropolitan
Altona,3,u,577000,S,23-04-2016,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,Western Metropolitan
Altona,4,h,1030000,S,25-02-2017,13.8,3018,4,1,0,797,,,Hobsons Bay,Western Metropolitan
Altona,3,u,605000,S,25-02-2017,13.8,3018,3,1,2,181,,,Hobsons Bay,Western Metropolitan
Altona,3,h,753000,S,27-06-2016,13.8,3018,3,2,2,529,,,Hobsons Bay,Western Metropolitan
Altona,2,h,857000,SP,27-11-2016,13.8,3018,2,2,1,675,100,1950,Hobsons Bay,Western Metropolitan
Altona,3,h,1500000,S,28-05-2016,13.8,3018,3,1,1,929,,,Hobsons Bay,Western Metropolitan
Altona,3,u,730000,SP,28-05-2016,13.8,3018,3,2,1,70,3,2014,Hobsons Bay,Western Metropolitan
Altona,3,h,900000,S,28-05-2016,13.8,3018,3,1,4,697,,,Hobsons Bay,Western Metropolitan
Altona,3,h,740000,S,28-08-2016,13.8,3018,3,1,2,604,,,Hobsons Bay,Western Metropolitan
Altona,4,h,931000,S,28-08-2016,13.8,3018,4,2,3,532,,1970,Hobsons Bay,Western Metropolitan
Altona,2,h,535600,SP,30-07-2016,13.8,3018,2,1,1,154,91,1996,Hobsons Bay,Western Metropolitan
Altona North,5,h,1085000,S,03-09-2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay,Western Metropolitan
Altona North,3,h,781000,S,03-09-2016,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,Western Metropolitan
Altona North,3,h,750000,SP,04-03-2017,11.1,3025,3,1,3,554,,,Hobsons Bay,Western Metropolitan
Altona North,2,t,421000,S,04-03-2017,11.1,3025,2,1,1,77,77,2009,Hobsons Bay,Western Metropolitan
Altona North,3,h,1405000,S,04-03-2017,11.1,3025,3,1,3,655,,,Hobsons Bay,Western Metropolitan
Altona North,3,h,683000,S,04-06-2016,11.1,3025,3,1,2,534,167,1967,Hobsons Bay,Western Metropolitan
Altona North,3,h,623000,S,04-06-2016,11.1,3025,3,1,3,540,,,Hobsons Bay,Western Metropolitan
Altona North,3,h,720000,VB,06-08-2016,11.1,3025,3,2,1,0,130,2012,Hobsons Bay,Western Metropolitan
Altona North,3,h,588000,S,07-05-2016,11.1,3025,3,1,1,328,118,1970,Hobsons Bay,Western Metropolitan
Altona North,3,h,710000,PI,07-11-2016,11.1,3025,3,1,3,540,116,1960,Hobsons Bay,Western Metropolitan
Altona North,4,h,875000,SP,08-10-2016,11.1,3025,3,1,4,559,169,1965,Hobsons Bay,Western Metropolitan
Altona North,3,h,700000,VB,10-12-2016,11.1,3025,3,1,3,554,,,Hobsons Bay,Western Metropolitan
Altona North,2,t,640000,S,11-03-2017,11.1,3025,2,1,1,252,,1965,Hobsons Bay,Western Metropolitan
Altona North,4,h,650000,SP,12-06-2016,11.1,3025,4,1,4,558,,,Hobsons Bay,Western Metropolitan
Altona North,3,h,675000,S,14-05-2016,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,Western Metropolitan
Altona North,3,h,708000,S,15-10-2016,11.1,3025,3,1,2,585,97,1960,Hobsons Bay,Western Metropolitan
Altona North,4,h,965000,SP,15-10-2016,11.1,3025,4,1,4,851,,,Hobsons Bay,Western Metropolitan
Altona North,3,h,680000,S,19-11-2016,11.1,3025,3,1,3,551,,,Hobsons Bay,Western Metropolitan
Altona North,3,h,770000,SP,19-11-2016,11.1,3025,3,1,3,602,603,,Hobsons Bay,Western Metropolitan
Altona North,3,h,923000,S,22-05-2016,11.1,3025,3,1,2,740,,,Hobsons Bay,Western Metropolitan
Altona North,4,h,693000,SP,22-05-2016,11.1,3025,4,2,4,315,170,2008,Hobsons Bay,Western Metropolitan
Altona North,3,h,620000,SP,22-08-2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay,Western Metropolitan
Altona North,3,h,728500,S,22-08-2016,11.1,3025,3,1,1,531,157,1960,Hobsons Bay,Western Metropolitan
Altona North,3,h,931000,S,22-08-2016,11.1,3025,3,2,1,590,160,1950,Hobsons Bay,Western Metropolitan
Altona North,3,h,988000,S,22-08-2016,11.1,3025,3,1,4,715,,2008,Hobsons Bay,Western Metropolitan
Altona North,3,h,590000,S,23-04-2016,11.1,3025,3,1,2,561,,,Hobsons Bay,Western Metropolitan
Altona North,2,h,610000,S,24-09-2016,11.1,3025,2,1,2,691,,,Hobsons Bay,Western Metropolitan
Altona North,3,h,815000,S,25-02-2017,11.1,3025,3,2,3,555,130,1960,Hobsons Bay,Western Metropolitan
Altona North,4,h,970000,S,25-02-2017,11.1,3025,4,1,2,708,,,Hobsons Bay,Western Metropolitan
Altona North,4,h,760000,S,27-06-2016,11.1,3025,4,1,3,668,,,Hobsons Bay,Western Metropolitan
Altona North,4,t,847500,S,27-06-2016,11.1,3025,4,3,1,252,,,Hobsons Bay,Western Metropolitan
Altona North,4,h,1200000,SP,27-11-2016,11.1,3025,4,1,4,633,158,1960,Hobsons Bay,Western Metropolitan
Altona North,3,h,700000,SP,27-11-2016,11.1,3025,3,1,1,557,,,Hobsons Bay,Western Metropolitan
Altona North,3,h,625000,PI,28-05-2016,11.1,3025,3,1,1,536,,,Hobsons Bay,Western Metropolitan
Altona North,2,u,292000,S,28-08-2016,11.1,3025,2,1,1,153,70,1970,Hobsons Bay,Western Metropolitan
Armadale,2,u,599000,S,03-09-2016,6.3,3143,2,1,1,0,76,1964,Stonnington,Southern Metropolitan
Armadale,2,u,550000,VB,03-12-2016,6.3,3143,2,1,0,861,,,Stonnington,Southern Metropolitan
Armadale,3,u,995000,S,03-12-2016,6.3,3143,3,2,2,0,100,1998,Stonnington,Southern Metropolitan
Armadale,3,t,1205000,S,03-12-2016,6.3,3143,3,2,2,101,105,2000,Stonnington,Southern Metropolitan
Armadale,3,h,1939000,S,03-12-2016,6.3,3143,3,2,2,296,150,1889,Stonnington,Southern Metropolitan
Armadale,1,u,421500,S,03-12-2016,6.3,3143,1,1,0,0,,,Stonnington,Southern Metropolitan
Armadale,3,h,1870000,S,04-03-2017,6.3,3143,3,1,1,217,116,1888,Stonnington,Southern Metropolitan
Armadale,2,u,678000,S,04-03-2017,6.3,3143,2,1,2,0,,,Stonnington,Southern Metropolitan
Armadale,3,t,1918000,SP,04-03-2017,6.3,3143,3,2,2,0,165,1995,Stonnington,Southern Metropolitan
Armadale,2,u,660000,SP,04-03-2017,6.3,3143,2,1,1,0,,,Stonnington,Southern Metropolitan
Armadale,3,h,2050000,S,04-03-2017,6.3,3143,3,2,1,205,116,1910,Stonnington,Southern Metropolitan
Armadale,2,u,700000,VB,04-06-2016,6.3,3143,2,1,2,0,,,Stonnington,Southern Metropolitan
Armadale,2,u,3625000,S,04-06-2016,6.3,3143,3,2,2,0,,2006,Stonnington,Southern Metropolitan
Armadale,4,h,3000000,VB,04-06-2016,6.3,3143,4,2,2,1581,,1934,Stonnington,Southern Metropolitan
Armadale,5,h,1525000,PI,07-05-2016,6.3,3143,8,2,2,693,,,Stonnington,Southern Metropolitan
Armadale,3,u,735000,PI,07-05-2016,6.3,3143,3,2,1,2113,14,1970,Stonnington,Southern Metropolitan
Armadale,2,u,825000,S,07-05-2016,6.3,3143,2,1,1,0,,,Stonnington,Southern Metropolitan
Armadale,3,t,1586000,S,07-05-2016,6.3,3143,2,2,2,246,,,Stonnington,Southern Metropolitan
Armadale,2,u,645000,S,08-10-2016,6.3,3143,3,1,1,0,,1960,Stonnington,Southern Metropolitan
Armadale,1,h,1435000,SP,08-10-2016,6.3,3143,2,2,1,144,107,1900,Stonnington,Southern Metropolitan
Armadale,1,u,280000,PI,10-09-2016,6.3,3143,1,1,1,0,38,1975,Stonnington,Southern Metropolitan
Armadale,1,u,400000,PI,10-12-2016,6.3,3143,1,1,1,0,,,Stonnington,Southern Metropolitan
Armadale,2,h,1780000,S,10-12-2016,6.3,3143,2,2,2,0,,,Stonnington,Southern Metropolitan
Armadale,2,u,592500,S,10-12-2016,6.3,3143,2,1,1,0,73,1970,Stonnington,Southern Metropolitan
Armadale,2,h,1210000,S,12-11-2016,6.3,3143,2,1,0,249,96,1910,Stonnington,Southern Metropolitan
Armadale,4,h,2801000,S,12-11-2016,6.3,3143,4,2,2,624,222,1900,Stonnington,Southern Metropolitan
Armadale,1,u,390000,S,14-05-2016,6.3,3143,1,1,0,881,,,Stonnington,Southern Metropolitan
Armadale,3,h,1800000,PI,15-10-2016,6.3,3143,3,2,2,405,121,1910,Stonnington,Southern Metropolitan
Armadale,4,h,2200000,PI,15-10-2016,6.3,3143,4,1,2,495,163,1900,Stonnington,Southern Metropolitan
Armadale,1,u,324000,S,16-04-2016,6.3,3143,1,1,1,0,,,Stonnington,Southern Metropolitan
Armadale,6,h,5525000,S,17-09-2016,6.3,3143,5,3,4,1491,516,1935,Stonnington,Southern Metropolitan
Armadale,2,h,1125000,S,17-09-2016,6.3,3143,3,1,2,169,,,Stonnington,Southern Metropolitan
Armadale,3,h,2250000,S,17-09-2016,6.3,3143,3,3,1,301,,,Stonnington,Southern Metropolitan
Armadale,3,h,2360000,S,18-03-2017,6.3,3143,3,2,0,336,,,Stonnington,Southern Metropolitan
Armadale,2,h,1900000,VB,18-03-2017,6.3,3143,2,2,0,207,,,Stonnington,Southern Metropolitan
Armadale,1,u,440000,SP,18-03-2017,6.3,3143,1,1,1,0,53,1970,Stonnington,Southern Metropolitan
Armadale,2,u,490000,PI,18-06-2016,6.3,3143,2,1,1,0,,1966,Stonnington,Southern Metropolitan
Armadale,3,h,2365000,S,18-06-2016,6.3,3143,3,2,1,316,,,Stonnington,Southern Metropolitan
Armadale,3,h,1300000,VB,18-06-2016,6.3,3143,2,1,2,212,106,1900,Stonnington,Southern Metropolitan
Armadale,3,u,732000,S,18-06-2016,6.3,3143,3,2,2,0,,,Stonnington,Southern Metropolitan
Armadale,2,u,704000,SP,19-11-2016,6.3,3143,2,1,1,0,74,1969,Stonnington,Southern Metropolitan
Armadale,2,u,620000,VB,19-11-2016,6.3,3143,3,1,1,0,98,1970,Stonnington,Southern Metropolitan
Armadale,3,h,1900000,S,22-05-2016,6.3,3143,3,1,2,328,108,1900,Stonnington,Southern Metropolitan
Armadale,1,u,315000,SP,22-08-2016,6.3,3143,1,1,1,0,,,Stonnington,Southern Metropolitan
Armadale,1,u,450000,PI,24-09-2016,6.3,3143,1,1,1,0,,,Stonnington,Southern Metropolitan
Armadale,2,u,710000,S,25-02-2017,6.3,3143,2,1,1,2471,80,1970,Stonnington,Southern Metropolitan
Armadale,2,u,872000,S,25-02-2017,6.3,3143,2,1,1,1194,,1953,Stonnington,Southern Metropolitan
Armadale,2,u,598000,S,25-02-2017,6.3,3143,2,1,1,0,88,1970,Stonnington,Southern Metropolitan
Armadale,3,h,1285000,S,25-02-2017,6.3,3143,3,1,2,186,80,1920,Stonnington,Southern Metropolitan
Armadale,4,h,3660000,S,25-02-2017,6.3,3143,4,3,2,421,,,Stonnington,Southern Metropolitan
Armadale,2,u,520000,S,27-06-2016,6.3,3143,1,1,1,0,76,1970,Stonnington,Southern Metropolitan
Armadale,4,h,3625000,S,27-11-2016,6.3,3143,4,1,2,709,251,1900,Stonnington,Southern Metropolitan
Armadale,4,h,4200000,VB,27-11-2016,6.3,3143,4,3,3,563,333,2000,Stonnington,Southern Metropolitan
Armadale,3,t,1101000,S,27-11-2016,6.3,3143,3,1,2,103,3,2000,Stonnington,Southern Metropolitan
Armadale,3,h,3512500,S,27-11-2016,6.3,3143,3,2,2,617,285,1998,Stonnington,Southern Metropolitan
Armadale,4,h,2000000,PI,28-05-2016,6.3,3143,4,3,4,544,,,Stonnington,Southern Metropolitan
Armadale,3,u,869000,S,28-05-2016,6.3,3143,2,1,1,0,91,1940,Stonnington,Southern Metropolitan
Armadale,5,h,2810000,S,28-08-2016,6.3,3143,5,2,2,617,,,Stonnington,Southern Metropolitan
